"toy","../../wp-content/uploads/2015/04/toy-DX妖怪ウォッチ-フミちゃんVer.jpg", "1", "DX妖怪ウォッチ フミちゃんVer.", "■【セット内容】DX妖怪ウォッチ フミちゃんVer.…１、妖怪メダル 2枚（ゴルニャン、ワルニャン各1枚）","約220種以上の妖怪の登場ボイスが楽しめて、召喚モード・探知モードで遊べるよ！\nしかも、妖怪メダル２枚も付いてくる！\n※DX妖怪ウォッチ フミちゃんVer.怪メダル（銀フレーム）対応です。\n※零　Zメダル（緑フレーム）・古典メダル（赤フレーム）には対応しておりません。", "【2015年 04月 25日発売】", "■価格: 3,200円（税抜）", "http://yw.b-boys.jp/member/products/watch3/", "▶「DX妖怪ウォッチ フミちゃんVer.」の詳細は妖怪メダランドをチェック！"
"dailynec","../../wp-content/uploads/2015/04/a-ネコ耳02.jpg\n../../wp-content/uploads/2015/04/a-ネコ耳03.jpg\n../../wp-content/uploads/2015/04/a-ネコ耳04.jpg\n../../wp-content/uploads/2015/04/ネコ耳場面写re.jpg", "1", "ネコ耳カチューシャ　with ツチノコパンダカード", "■商品内容：カチューシャ1個＋妖怪ウォッチ　ともだちウキウキペディア　1枚","ニャーKBメンバーが着けているものと同じネコ耳カチューシャです。", "【2015年 04月 22日発売】", "■価格: 925円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/", "▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"prize","../../wp-content/uploads/2015/04/prize-でっかいジバニャンぬいぐるみ〜添い寝ｖｅｒ．〜.jpg", "1", "妖怪ウォッチ でっかいジバニャンぬいぐるみ～添い寝ｖｅｒ．～", "■全2種　サイズ約28cm","寝っ転がった姿がとってもかわいいジバニャンのぬいぐるみ。\nいつも一緒に横で寝たくなっちゃうほど愛くるしいです！", "【2015年4月28日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-でっかいころりん顔型クッション.jpg", "1", "妖怪ウォッチ でっかいころりん顔型クッション", "■全2種　横幅約36cm","コマさんとコマじろうが仲良くでっかい顔型クッションになってクレーンゲーム景品に登場！\nおっきくて抱き心地も最高だよ！", "【2015年4月23日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-圧縮ミニタオル.jpg", "1", "妖怪ウォッチ 圧縮ミニタオル", "■全2種　サイズ約23cm×約23cm", "ジバニャンをはじめ人気の妖怪たちの圧縮タオルが新登場！\n水で元に戻すと約23cmのハンドタオルになって、とっても実用的です。\nクレーンゲームでぜひ獲っちゃおう！", "【2015年4月23日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch" ,"▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-エアぐるみ.jpg", "1", "妖怪ウォッチ エアぐるみ", "■全1種　サイズ　約40cm","中の空ビボールに空気を入れると約40cmのジバニャンの出来上がり！\nぬいぐるみのような手触りの空ビボールなので、気持ち良く遊べるよ！クレーンゲームで獲ってね！", "【2015年4月16日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-冷茶ポット＆グラス.jpg", "1", "妖怪ウォッチ 冷茶ポット＆グラス", "■全1種／サイズ：ポット約29cm・コップ約11cm","人気の妖怪たちがデザインされたガラス製のポットとグラスのセットだよ。クレーンゲームで獲ってね！", "【2015年4月14日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"food","../../wp-content/uploads/2015/03/food-妖怪プニプニぶどうグミ.jpg\n../../wp-content/uploads/2015/03/food-妖怪プニプニぶどうグミ_2.jpg", "1", "妖怪ウォッチ　妖怪プニプニぶどうグミ", "■グレープ味グミ33g", "妖怪ウォッチのキャラクターグミがグレープ味になって新登場！\nグミのデザインは全15種類、人気のキュウビ、オロチを始めレアグミにはあの妖怪達が入っているかも？", "【2015年4月13日発売予定】", "価格: 100円（税抜）", "null", "null"
"toy","../../wp-content/uploads/2015/04/toy-妖怪メダル第５章_1.jpg\n../../wp-content/uploads/2015/04/toy-妖怪メダル第５章_2.jpg", "1", "妖怪メダル第5章 ～妖魔界のツワモノたち～", "■1パック2枚入り／全30種\n※DX妖怪ウォッチタイプ零式では遊べません。", "DX妖怪ウォッチで遊べる、妖怪メダルシリーズ第5章が新登場！\n今回は、光り輝くツワモノたちが大集結したラインナップで\nホロメダル8種、ノーマルメダル22種の全30種！\nさらに、妖怪Padはもちろん、4月下旬発売予定の「DX妖怪ウォッチ フミちゃんVer.」でも遊べるぞ！", "【2015年4月11日発売予定】", "■価格: 180円（税抜）", "http://yw.b-boys.jp/member/products/medal11/", "▶詳細は妖怪メダランドをチェック！"
"prize","../../wp-content/uploads/2015/04/prize-MY妖怪ウォッチコレクション-ぬいぐるみｖｏｌ．２.jpg", "1", "MY妖怪ウォッチコレクション ぬいぐるみｖｏｌ．２", "■全4種　サイズ約9cm", "「あつめていつもそばに」の願いをこめたぬいぐるみシリーズ「MY妖怪ウォッチコレクション　ぬいぐるみ」の第二弾が早くもクレーンゲーム景品に登場！\n人気の妖怪たちが続々登場！\n第二弾は「ブシニャン」、「ジバニャン」、「ひも爺」、「どんどろ」の4種類。", "【2015年4月9日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"food","../../wp-content/uploads/2015/05/food-ジバニャンのふわチョコモナカ_1.jpg\n../../wp-content/uploads/2015/05/food-ジバニャンのふわチョコモナカ_2.jpg", "1", "ジバニャンのふわチョコモナカ","null","ジバニャンが可愛いチョコモナカになって新登場！\nサクッとしたモナカの中にはふわふわのエアインチョコレート入り、\n食べるのがもったいないくらい♪", "【2015年 05月 25日発売】", "■価格:80円(税抜)", "null", "null"
"prize","../../wp-content/uploads/2015/04/prize-ひっさつわざフィギュア（3）.jpg", "1", "妖怪ウォッチ ひっさつわざフィギュア", "■全4種　サイズ約5cm","妖怪たちが必殺技を繰り出す時のポーズをかっこいいフィギュアにしました。\n必殺技を演出する背台紙も付いてるよ。\nクレーンゲームでゲットして、並べて飾ろう！", "【5月21日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch","▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-1.jpg\n../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-2.jpg\n../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-3.jpg", "1", "妖怪ウォッチ カード付折りたたみウォレット２", "■全4種　サイズ約9cm×約9cm","妖怪たちをデザインしたオシャレな2ツ折りのウォレット。\n「妖怪ウォッチともだちウキウキペディア」で使える「妖怪カード」が1枚付いているよ。\nクレーンゲームで獲ってね。", "【5月19日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！",
"prize","../../wp-content/uploads/2015/04/prize-テレビ椅子.jpg", "1", "妖怪ウォッチ テレビ椅子", "■全2種　サイズ約18cm","ジバニャン、コマさんのテレビ椅子が新登場！\nゲームするときやテレビを見たりするときに使おう。\nクレーンゲームで獲ってね。", "【5月14日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-Ｔシャツ２.jpg", "1", "妖怪ウォッチ Ｔシャツ２", "■全2種　サイズ：子供サイズ約130cm", "妖怪ウォッチに登場する妖怪たちのTシャツが新登場！どちらもとってもイケてるデザインで、これを着れば人気者間違いなし！クレーンゲーム専用景品だよ。", "【5月8日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-コロっとまんまるぬいぐるみ〜フルーツニャン登場編ｖｏｌ．１〜.jpg", "1", "妖怪ウォッチ コロっとまんまるぬいぐるみ～フルーツニャン登...", "■全4種　サイズ約12cm","コロンとした形がかわいい「コロっとまんまるぬいぐるみ」からフルーツニャンが登場！\n第1弾は「ジバニャン」、「ブドウニャン」、「イチゴニャン」、「メロンニャン」の全4種類。\nクレーンゲームで獲ってね。", "【5月8日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"dailynec","../../wp-content/uploads/2015/04/バッジ０４.jpg\n../../wp-content/uploads/2015/04/バッジ０３.jpg\n../../wp-content/uploads/2015/04/バッジ０１.jpg", "1", "ニャーKB　with ツチノコパンダ　缶バッジ", "■商品内容：1パック　各1個入り　全16種（ニャーKB７人、ツチノコパンダ）×2種（アニメ、写真）","アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 05月 06日発売】", "価格: 300円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/" ,"▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/キャラポス０４.jpg\n../../wp-content/uploads/2015/04/キャラポス０２.jpg", "1", "ニャーKB　with ツチノコパンダ　キャラポスコレクション", "■商品内容：1パック　写真＋アニメ　各1枚入り　全8種（ニャーKB７人、全員集合1種）", "アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 04月 29日発売】", "■価格: 600円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/", "▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/クリアファイル写真全種.jpg\n../../wp-content/uploads/2015/04/クリアファイル全種アニメ.jpg\n../../wp-content/uploads/2015/04/クリアファイルぱるる.jpg", "1", "ニャーKB　with ツチノコパンダ　クリアファイル", "■商品内容：1パック　写真＋アニメ　各1枚入り　全8種（ニャーKB７人、全員集合1種）","アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 04月 29日発売】", "■価格: 300円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/" ,"▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/フィギュア０３.jpg\n../../wp-content/uploads/2015/04/フィギュア０２.jpg\n../../wp-content/uploads/2015/04/フィギュア０１.jpg", "1", "ニャーKB　with ツチノコパンダ　フィギュア", "■商品内容：１パック　フィギュア＋台座1個入り。フィギュア全10種（ニャーKB7人、ツチノコパンダ2種、シークレット1種）","妖怪ウォッチ　ＥＤ曲『アイドルはウーニャニャの件』のダンスシーンを完全再現！\n※1BOXでフィギュア全10種揃います", "【2015年 04月 29日発売】", "価格: 600円（税抜）", "http://youkai-world.com/goods/nkb_shoplist/" ,"▶取り扱い店はこちら"
"toy","../../wp-content/uploads/2015/04/toy-DX妖怪ウォッチ-フミちゃんVer.jpg", "1", "DX妖怪ウォッチ フミちゃんVer.", "■【セット内容】DX妖怪ウォッチ フミちゃんVer.…１、妖怪メダル 2枚（ゴルニャン、ワルニャン各1枚）","約220種以上の妖怪の登場ボイスが楽しめて、召喚モード・探知モードで遊べるよ！\nしかも、妖怪メダル２枚も付いてくる！\n※DX妖怪ウォッチ フミちゃんVer.怪メダル（銀フレーム）対応です。\n※零　Zメダル（緑フレーム）・古典メダル（赤フレーム）には対応しておりません。", "【2015年 04月 25日発売】", "■価格: 3,200円（税抜）", "http://yw.b-boys.jp/member/products/watch3/", "▶「DX妖怪ウォッチ フミちゃんVer.」の詳細は妖怪メダランドをチェック！"
"dailynec","../../wp-content/uploads/2015/04/a-ネコ耳02.jpg\n../../wp-content/uploads/2015/04/a-ネコ耳03.jpg\n../../wp-content/uploads/2015/04/a-ネコ耳04.jpg\n../../wp-content/uploads/2015/04/ネコ耳場面写re.jpg", "1", "ネコ耳カチューシャ　with ツチノコパンダカード", "■商品内容：カチューシャ1個＋妖怪ウォッチ　ともだちウキウキペディア　1枚","ニャーKBメンバーが着けているものと同じネコ耳カチューシャです。", "【2015年 04月 22日発売】", "■価格: 925円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/", "▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"prize","../../wp-content/uploads/2015/04/prize-でっかいジバニャンぬいぐるみ〜添い寝ｖｅｒ．〜.jpg", "1", "妖怪ウォッチ でっかいジバニャンぬいぐるみ～添い寝ｖｅｒ．～", "■全2種　サイズ約28cm","寝っ転がった姿がとってもかわいいジバニャンのぬいぐるみ。\nいつも一緒に横で寝たくなっちゃうほど愛くるしいです！", "【2015年4月28日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-でっかいころりん顔型クッション.jpg", "1", "妖怪ウォッチ でっかいころりん顔型クッション", "■全2種　横幅約36cm","コマさんとコマじろうが仲良くでっかい顔型クッションになってクレーンゲーム景品に登場！\nおっきくて抱き心地も最高だよ！", "【2015年4月23日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-圧縮ミニタオル.jpg", "1", "妖怪ウォッチ 圧縮ミニタオル", "■全2種　サイズ約23cm×約23cm", "ジバニャンをはじめ人気の妖怪たちの圧縮タオルが新登場！\n水で元に戻すと約23cmのハンドタオルになって、とっても実用的です。\nクレーンゲームでぜひ獲っちゃおう！", "【2015年4月23日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch" ,"▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-エアぐるみ.jpg", "1", "妖怪ウォッチ エアぐるみ", "■全1種　サイズ　約40cm","中の空ビボールに空気を入れると約40cmのジバニャンの出来上がり！\nぬいぐるみのような手触りの空ビボールなので、気持ち良く遊べるよ！クレーンゲームで獲ってね！", "【2015年4月16日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-冷茶ポット＆グラス.jpg", "1", "妖怪ウォッチ 冷茶ポット＆グラス", "■全1種／サイズ：ポット約29cm・コップ約11cm","人気の妖怪たちがデザインされたガラス製のポットとグラスのセットだよ。クレーンゲームで獲ってね！", "【2015年4月14日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"food","../../wp-content/uploads/2015/03/food-妖怪プニプニぶどうグミ.jpg\n../../wp-content/uploads/2015/03/food-妖怪プニプニぶどうグミ_2.jpg", "1", "妖怪ウォッチ　妖怪プニプニぶどうグミ", "■グレープ味グミ33g", "妖怪ウォッチのキャラクターグミがグレープ味になって新登場！\nグミのデザインは全15種類、人気のキュウビ、オロチを始めレアグミにはあの妖怪達が入っているかも？", "【2015年4月13日発売予定】", "価格: 100円（税抜）", "null", "null"
"food","../../wp-content/uploads/2015/05/food-ジバニャンのふわチョコモナカ_1.jpg\n../../wp-content/uploads/2015/05/food-ジバニャンのふわチョコモナカ_2.jpg", "1", "ジバニャンのふわチョコモナカ","null","ジバニャンが可愛いチョコモナカになって新登場！\nサクッとしたモナカの中にはふわふわのエアインチョコレート入り、\n食べるのがもったいないくらい♪", "【2015年 05月 25日発売】", "■価格:80円(税抜)", "null", "null"
"prize","../../wp-content/uploads/2015/04/prize-ひっさつわざフィギュア（3）.jpg", "1", "妖怪ウォッチ ひっさつわざフィギュア", "■全4種　サイズ約5cm","妖怪たちが必殺技を繰り出す時のポーズをかっこいいフィギュアにしました。\n必殺技を演出する背台紙も付いてるよ。\nクレーンゲームでゲットして、並べて飾ろう！", "【5月21日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch","▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-1.jpg\n../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-2.jpg\n../../wp-content/uploads/2015/04/prize-カード付折りたたみウォレット２-3.jpg", "1", "妖怪ウォッチ カード付折りたたみウォレット２", "■全4種　サイズ約9cm×約9cm","妖怪たちをデザインしたオシャレな2ツ折りのウォレット。\n「妖怪ウォッチともだちウキウキペディア」で使える「妖怪カード」が1枚付いているよ。\nクレーンゲームで獲ってね。", "【5月19日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！",
"prize","../../wp-content/uploads/2015/04/prize-テレビ椅子.jpg", "1", "妖怪ウォッチ テレビ椅子", "■全2種　サイズ約18cm","ジバニャン、コマさんのテレビ椅子が新登場！\nゲームするときやテレビを見たりするときに使おう。\nクレーンゲームで獲ってね。", "【5月14日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-Ｔシャツ２.jpg", "1", "妖怪ウォッチ Ｔシャツ２", "■全2種　サイズ：子供サイズ約130cm", "妖怪ウォッチに登場する妖怪たちのTシャツが新登場！どちらもとってもイケてるデザインで、これを着れば人気者間違いなし！クレーンゲーム専用景品だよ。", "【5月8日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-コロっとまんまるぬいぐるみ〜フルーツニャン登場編ｖｏｌ．１〜.jpg", "1", "妖怪ウォッチ コロっとまんまるぬいぐるみ～フルーツニャン登...", "■全4種　サイズ約12cm","コロンとした形がかわいい「コロっとまんまるぬいぐるみ」からフルーツニャンが登場！\n第1弾は「ジバニャン」、「ブドウニャン」、「イチゴニャン」、「メロンニャン」の全4種類。\nクレーンゲームで獲ってね。", "【5月8日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"dailynec","../../wp-content/uploads/2015/04/バッジ０４.jpg\n../../wp-content/uploads/2015/04/バッジ０３.jpg\n../../wp-content/uploads/2015/04/バッジ０１.jpg", "1", "ニャーKB　with ツチノコパンダ　缶バッジ", "■商品内容：1パック　各1個入り　全16種（ニャーKB７人、ツチノコパンダ）×2種（アニメ、写真）","アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 05月 06日発売】", "価格: 300円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/" ,"▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/キャラポス０４.jpg\n../../wp-content/uploads/2015/04/キャラポス０２.jpg", "1", "ニャーKB　with ツチノコパンダ　キャラポスコレクション", "■商品内容：1パック　写真＋アニメ　各1枚入り　全8種（ニャーKB７人、全員集合1種）", "アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 04月 29日発売】", "■価格: 600円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/", "▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/クリアファイル写真全種.jpg\n../../wp-content/uploads/2015/04/クリアファイル全種アニメ.jpg\n../../wp-content/uploads/2015/04/クリアファイルぱるる.jpg", "1", "ニャーKB　with ツチノコパンダ　クリアファイル", "■商品内容：1パック　写真＋アニメ　各1枚入り　全8種（ニャーKB７人、全員集合1種）","アニメと同じポーズをした、AKBメンバーの写真を完全撮り下ろし。", "【2015年 04月 29日発売】", "■価格: 300円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/" ,"▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"dailynec","../../wp-content/uploads/2015/04/フィギュア０３.jpg\n../../wp-content/uploads/2015/04/フィギュア０２.jpg\n../../wp-content/uploads/2015/04/フィギュア０１.jpg", "1", "ニャーKB　with ツチノコパンダ　フィギュア", "■商品内容：１パック　フィギュア＋台座1個入り。フィギュア全10種（ニャーKB7人、ツチノコパンダ2種、シークレット1種）","妖怪ウォッチ　ＥＤ曲『アイドルはウーニャニャの件』のダンスシーンを完全再現！\n※1BOXでフィギュア全10種揃います", "【2015年 04月 29日発売】", "価格: 600円（税抜）", "http://youkai-world.com/goods/nkb_shoplist/" ,"▶取り扱い店はこちら"
"toy","../../wp-content/uploads/2015/04/toy-DX妖怪ウォッチ-フミちゃんVer.jpg", "1", "DX妖怪ウォッチ フミちゃんVer.", "■【セット内容】DX妖怪ウォッチ フミちゃんVer.…１、妖怪メダル 2枚（ゴルニャン、ワルニャン各1枚）","約220種以上の妖怪の登場ボイスが楽しめて、召喚モード・探知モードで遊べるよ！\nしかも、妖怪メダル２枚も付いてくる！\n※DX妖怪ウォッチ フミちゃんVer.怪メダル（銀フレーム）対応です。\n※零　Zメダル（緑フレーム）・古典メダル（赤フレーム）には対応しておりません。", "【2015年 04月 25日発売】", "■価格: 3,200円（税抜）", "http://yw.b-boys.jp/member/products/watch3/", "▶「DX妖怪ウォッチ フミちゃんVer.」の詳細は妖怪メダランドをチェック！"
"dailynec","../../wp-content/uploads/2015/04/a-ネコ耳02.jpg\n../../wp-content/uploads/2015/04/a-ネコ耳03.jpg\n../../wp-content/uploads/2015/04/a-ネコ耳04.jpg\n../../wp-content/uploads/2015/04/ネコ耳場面写re.jpg", "1", "ネコ耳カチューシャ　with ツチノコパンダカード", "■商品内容：カチューシャ1個＋妖怪ウォッチ　ともだちウキウキペディア　1枚","ニャーKBメンバーが着けているものと同じネコ耳カチューシャです。", "【2015年 04月 22日発売】", "■価格: 925円（税抜）", "http://www.itoyokado.co.jp/store/\nhttp://youkai-world.com/goods/nkb_shoplist/", "▶全国のイトーヨーカドー\n▶その他のお店はこちら"
"prize","../../wp-content/uploads/2015/04/prize-でっかいジバニャンぬいぐるみ〜添い寝ｖｅｒ．〜.jpg", "1", "妖怪ウォッチ でっかいジバニャンぬいぐるみ～添い寝ｖｅｒ．～", "■全2種　サイズ約28cm","寝っ転がった姿がとってもかわいいジバニャンのぬいぐるみ。\nいつも一緒に横で寝たくなっちゃうほど愛くるしいです！", "【2015年4月28日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-でっかいころりん顔型クッション.jpg", "1", "妖怪ウォッチ でっかいころりん顔型クッション", "■全2種　横幅約36cm","コマさんとコマじろうが仲良くでっかい顔型クッションになってクレーンゲーム景品に登場！\nおっきくて抱き心地も最高だよ！", "【2015年4月23日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-圧縮ミニタオル.jpg", "1", "妖怪ウォッチ 圧縮ミニタオル", "■全2種　サイズ約23cm×約23cm", "ジバニャンをはじめ人気の妖怪たちの圧縮タオルが新登場！\n水で元に戻すと約23cmのハンドタオルになって、とっても実用的です。\nクレーンゲームでぜひ獲っちゃおう！", "【2015年4月23日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch" ,"▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-エアぐるみ.jpg", "1", "妖怪ウォッチ エアぐるみ", "■全1種　サイズ　約40cm","中の空ビボールに空気を入れると約40cmのジバニャンの出来上がり！\nぬいぐるみのような手触りの空ビボールなので、気持ち良く遊べるよ！クレーンゲームで獲ってね！", "【2015年4月16日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"prize","../../wp-content/uploads/2015/04/prize-冷茶ポット＆グラス.jpg", "1", "妖怪ウォッチ 冷茶ポット＆グラス", "■全1種／サイズ：ポット約29cm・コップ約11cm","人気の妖怪たちがデザインされたガラス製のポットとグラスのセットだよ。クレーンゲームで獲ってね！", "【2015年4月14日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
"food","../../wp-content/uploads/2015/03/food-妖怪プニプニぶどうグミ.jpg\n../../wp-content/uploads/2015/03/food-妖怪プニプニぶどうグミ_2.jpg", "1", "妖怪ウォッチ　妖怪プニプニぶどうグミ", "■グレープ味グミ33g", "妖怪ウォッチのキャラクターグミがグレープ味になって新登場！\nグミのデザインは全15種類、人気のキュウビ、オロチを始めレアグミにはあの妖怪達が入っているかも？", "【2015年4月13日発売予定】", "価格: 100円（税抜）", "null", "null"
"toy","../../wp-content/uploads/2015/04/toy-妖怪メダル第５章_1.jpg\n../../wp-content/uploads/2015/04/toy-妖怪メダル第５章_2.jpg", "1", "妖怪メダル第5章 ～妖魔界のツワモノたち～", "■1パック2枚入り／全30種\n※DX妖怪ウォッチタイプ零式では遊べません。", "DX妖怪ウォッチで遊べる、妖怪メダルシリーズ第5章が新登場！\n今回は、光り輝くツワモノたちが大集結したラインナップで\nホロメダル8種、ノーマルメダル22種の全30種！\nさらに、妖怪Padはもちろん、4月下旬発売予定の「DX妖怪ウォッチ フミちゃんVer.」でも遊べるぞ！", "【2015年4月11日発売予定】", "■価格: 180円（税抜）", "http://yw.b-boys.jp/member/products/medal11/", "▶詳細は妖怪メダランドをチェック！"
"prize","../../wp-content/uploads/2015/04/prize-MY妖怪ウォッチコレクション-ぬいぐるみｖｏｌ．２.jpg", "1", "MY妖怪ウォッチコレクション ぬいぐるみｖｏｌ．２", "■全4種　サイズ約9cm", "「あつめていつもそばに」の願いをこめたぬいぐるみシリーズ「MY妖怪ウォッチコレクション　ぬいぐるみ」の第二弾が早くもクレーンゲーム景品に登場！\n人気の妖怪たちが続々登場！\n第二弾は「ブシニャン」、「ジバニャン」、「ひも爺」、「どんどろ」の4種類。", "【2015年4月9日より順次登場予定】", "null", "http://www.prizebp.jp/yokaiwatch", "▶とりあつかっているお店などの情報は「とるナビ」で検索！"
